"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 01 20:38:03 ICT 2023","Wed Feb 01 20:38:10 ICT 2023","7284","Regression","Login","tests.authen.LoginWithBaseTest","tests.authen.LoginWithBaseTest","testLogin","testLogin",""
"passed","Wed Feb 01 20:38:10 ICT 2023","Wed Feb 01 20:38:15 ICT 2023","5099","Regression","Login","tests.authen.LoginWithBaseTest","tests.authen.LoginWithBaseTest","testLogin","testLogin",""
"passed","Wed Feb 01 20:38:15 ICT 2023","Wed Feb 01 20:38:19 ICT 2023","3934","Regression","Login","tests.authen.LoginWithBaseTest","tests.authen.LoginWithBaseTest","testLogin","testLogin",""
